wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,0.1099557429552078,0.1905899494886398,0.0342084541916847,seq,16824.0,1721412759463677100
left,0.1429424732923507,0.2028072625398636,0.0268780700862407,seq,16825.0,1721412759478680600
left,0.1380555480718612,0.197920337319374,0.0329867228865623,seq,16826.0,1721412759505642500
left,0.1087340116500854,0.1869247704744339,0.0488692186772823,seq,16827.0,1721412759523609000
left,0.0928515195846557,0.1783726513385772,0.051312681287527,seq,16828.0,1721412759547444900
left,0.1001818999648094,0.1783726513385772,0.0525344125926494,seq,16829.0,1721412759573445300
left,0.0830776765942573,0.1747074574232101,0.0598647929728031,seq,16830.0,1721412759588437000
left,0.0684169083833694,0.1759291887283325,0.0684169083833694,seq,16831.0,1721412759606405800
left,0.0390953756868839,0.1527163088321685,0.0757472887635231,seq,16832.0,1721412759623437300
left,0.0012217304902151,0.1649336218833923,0.0733038261532783,seq,16833.0,1721412759648439100
left,-0.0879645943641662,0.1795943826436996,0.0842994004487991,seq,16834.0,1721412759664436800
left,-0.1270599663257599,0.1637118905782699,0.0867428630590438,seq,16835.0,1721412759689448700
left,-0.0061086523346602,0.2455678284168243,0.1111774742603302,seq,16836.0,1721412759705329500
left,-0.0171042270958423,0.2138028293848037,0.1136209368705749,seq,16837.0,1721412759724386600
left,-0.1197295859456062,0.2101376503705978,0.1258382350206375,seq,16838.0,1721412759748907900
left,-0.1356120854616165,0.1282816976308822,0.1380555480718612,seq,16839.0,1721412759763927000
left,-0.3445279896259308,0.0842994004487991,0.1551597714424133,seq,16840.0,1721412759779064500
left,-0.0855211317539215,0.0855211317539215,0.1185078546404838,seq,16841.0,1721412759804957900
left,-0.1685988008975982,0.0891863256692886,0.1453859210014343,seq,16842.0,1721412759827014700
left,-0.3310889601707458,-0.0085521135479211,0.2064724564552307,seq,16843.0,1721412759856700000
left,-0.3665191531181335,-0.0317649915814399,0.2162462919950485,seq,16844.0,1721412759873693500
left,-0.2504547536373138,0.0183259565383195,0.2064724564552307,seq,16845.0,1721412759896264000
left,-0.3323107063770294,-0.0122173046693205,0.2174680233001709,seq,16846.0,1721412759903331600
left,-0.3469714522361755,-0.0781907513737678,0.2199114859104156,seq,16847.0,1721412759926316400
left,-0.3506366610527038,-0.1160643994808197,0.2186897546052932,seq,16848.0,1721412759976116600
left,-0.3726277947425842,-0.1588249653577804,0.2443460971117019,seq,16849.0,1721412759996029900
left,-0.4801400899887085,-0.2284636050462722,0.271224170923233,seq,16850.0,1721412760014097600
left,-0.6328563690185547,-0.2895501255989074,0.3017674386501312,seq,16851.0,1721412760023035000
left,-0.7122688889503479,-0.3933972120285034,0.2858849465847015,seq,16852.0,1721412760035223300
left,-0.7391469478607178,-0.4386012554168701,0.2028072625398636,seq,16853.0,1721412760086931200
